,p_id,p_name,p_href,p_level,p_answer_people,try_count,category
19066,29707,Changing the Sitting Arrangement,https://www.acmicpc.net/problem/29707,14,3,1.33,
19067,29739,A Plus B,https://www.acmicpc.net/problem/29739,14,16,2.25,
19068,29760,건물 방문하기,https://www.acmicpc.net/problem/29760,14,45,2.56,
19069,29761,물 뿌리기,https://www.acmicpc.net/problem/29761,14,26,4.58,
19070,29784,Collecting Pancakes,https://www.acmicpc.net/problem/29784,14,5,1.00,
19071,29797,Game Sort: Part 1,https://www.acmicpc.net/problem/29797,14,3,5.00,
19072,29814,원교수님 과제가 너무 많아요,https://www.acmicpc.net/problem/29814,14,25,2.84,
19073,29925,Võistkondadeks jagamine,https://www.acmicpc.net/problem/29925,14,1,1.00,
19074,30014,준영이의 사랑,https://www.acmicpc.net/problem/30014,14,109,2.02,
19075,30091,직사각형 만들기,https://www.acmicpc.net/problem/30091,14,23,3.83,
19076,30094,그래서 나는 사진을 그만두었다,https://www.acmicpc.net/problem/30094,14,49,2.33,
19077,30192,소설,https://www.acmicpc.net/problem/30192,14,24,4.67,
19078,30222,Know your ABC’s,https://www.acmicpc.net/problem/30222,14,5,1.60,
19079,30223,Cut the Cake,https://www.acmicpc.net/problem/30223,14,6,1.17,
19080,30238,카드 게임,https://www.acmicpc.net/problem/30238,14,65,1.26,
19081,30309,Exceeding Limits,https://www.acmicpc.net/problem/30309,14,11,3.18,
19082,30312,Hacky Ordering,https://www.acmicpc.net/problem/30312,14,9,1.56,
19083,30321,Cutting into Monotone Increasing Sequence,https://www.acmicpc.net/problem/30321,14,8,1.13,
19084,30410,접시 포개기,https://www.acmicpc.net/problem/30410,14,66,2.83,
19085,30428,Reversal,https://www.acmicpc.net/problem/30428,14,24,2.04,
19086,30437,Factor-Full Tree,https://www.acmicpc.net/problem/30437,14,3,6.33,
19087,30464,시간낭비,https://www.acmicpc.net/problem/30464,14,130,3.54,
19088,30471,호반우가 학교에 지각한 이유 4,https://www.acmicpc.net/problem/30471,14,70,1.61,
19089,30488,Meeting Point,https://www.acmicpc.net/problem/30488,14,22,1.50,
19090,30522,OR & XOR (Small),https://www.acmicpc.net/problem/30522,14,35,1.91,
19091,30578,Hamster,https://www.acmicpc.net/problem/30578,14,1,5.00,
19092,30604,Intersegment Activation,https://www.acmicpc.net/problem/30604,14,5,1.20,
